System Time	RDTSC	Elapsed Time (sec)	 CPU Utilization(%)	CPU Frequency_0(MHz)	Processor Power_0(Watt)	Cumulative Processor Energy_0(Joules)	Cumulative Processor Energy_0(mWh)	IA Power_0(Watt)	Cumulative IA Energy_0(Joules)	Cumulative IA Energy_0(mWh)	Package Temperature_0(C)	Package Hot_0	DRAM Power_0(Watt)	Cumulative DRAM Energy_0(Joules)	Cumulative DRAM Energy_0(mWh)	Package PL1_0(Watt)	Package PL2_0(Watt)	Package PL4_0(Watt)	Platform PsysPL1_0(Watt)	Platform PsysPL2_0(Watt)
17:24:51:067	7,79071E+13	    0.119	   51.000	3200	  38.204	   4.555	   1.265	  26.656	   3.178	   0.883	64	0	   1.033	   0.123	   0.034	  55.000	  75.000	   0.000	 230.000	 280.000
17:24:51:163	7,79074E+13	    0.215	   50.000	3200	  38.025	   8.210	   2.281	  26.551	   5.730	   1.592	66	0	   1.061	   0.225	   0.063	  55.000	  75.000	   0.000	 230.000	 280.000
17:24:51:283	7,79077E+13	    0.335	   84.000	3200	  45.942	  13.713	   3.809	  34.171	   9.823	   2.729	70	0	   1.348	   0.387	   0.107	  55.000	  75.000	   0.000	 230.000	 280.000
17:24:51:390	7,7908E+13	    0.443	   93.000	3200	  47.887	  18.862	   5.239	  35.893	  13.683	   3.801	73	0	   1.479	   0.546	   0.152	  55.000	  75.000	   0.000	 230.000	 280.000
17:24:51:498	7,79083E+13	    0.551	   96.000	3200	  44.340	  23.673	   6.576	  35.429	  17.526	   4.868	75	0	   1.687	   0.729	   0.202	  55.000	  75.000	   0.000	 230.000	 280.000
17:24:51:605	7,79086E+13	    0.658	   83.000	3200	  37.300	  27.653	   7.681	  32.827	  21.030	   5.842	72	0	   1.656	   0.905	   0.251	  55.000	  75.000	   0.000	 230.000	 280.000
17:24:51:714	7,79089E+13	    0.767	   84.000	3200	  38.760	  31.874	   8.854	  34.438	  24.780	   6.883	75	0	   1.485	   1.067	   0.296	  55.000	  75.000	   0.000	 230.000	 280.000
17:24:51:855	7,79092E+13	    0.908	   73.000	3200	  37.413	  37.149	  10.319	  33.130	  29.451	   8.181	70	0	   1.485	   1.276	   0.355	  55.000	  75.000	   0.000	 230.000	 280.000
17:24:51:932	7,79095E+13	    0.984	   60.000	3200	  32.949	  39.677	  11.021	  28.602	  31.645	   8.790	75	0	   1.288	   1.375	   0.382	  55.000	  75.000	   0.000	 230.000	 280.000
17:24:52:043	7,79098E+13	    1.095	   59.000	3200	  33.137	  43.340	  12.039	  29.169	  34.870	   9.686	68	0	   1.250	   1.513	   0.420	  55.000	  75.000	   0.000	 230.000	 280.000
17:24:52:150	7,791E+13	    1.203	   96.000	3200	  38.677	  47.502	  13.195	  34.076	  38.537	  10.705	70	0	   1.877	   1.716	   0.477	  55.000	  75.000	   0.000	 230.000	 280.000
17:24:52:258	7,79103E+13	    1.311	   49.000	3200	  30.289	  50.783	  14.106	  26.187	  41.373	  11.493	62	0	   1.163	   1.841	   0.512	  55.000	  75.000	   0.000	 230.000	 280.000
17:24:52:369	7,79106E+13	    1.422	   22.000	3300	  21.590	  53.187	  14.774	  17.658	  43.340	  12.039	67	0	   0.729	   1.923	   0.534	  55.000	  75.000	   0.000	 230.000	 280.000
17:24:52:478	7,79109E+13	    1.531	   16.000	3200	  19.233	  55.283	  15.356	  15.309	  45.008	  12.502	70	0	   0.631	   1.992	   0.553	  55.000	  75.000	   0.000	 230.000	 280.000
17:24:52:589	7,79112E+13	    1.642	   18.000	3200	  19.951	  57.490	  15.969	  15.901	  46.767	  12.991	70	0	   0.637	   2.062	   0.573	  55.000	  75.000	   0.000	 230.000	 280.000
17:24:52:699	7,79115E+13	    1.751	   15.000	3200	  19.553	  59.621	  16.561	  15.667	  48.474	  13.465	62	0	   0.529	   2.120	   0.589	  55.000	  75.000	   0.000	 230.000	 280.000
17:24:52:810	7,79118E+13	    1.863	   17.000	3200	  19.384	  61.790	  17.164	  15.448	  50.203	  13.945	63	0	   0.570	   2.183	   0.606	  55.000	  75.000	   0.000	 230.000	 280.000
17:24:52:918	7,79121E+13	    1.971	   22.000	3300	  21.604	  64.137	  17.816	  17.614	  52.116	  14.477	59	0	   0.620	   2.251	   0.625	  55.000	  75.000	   0.000	 230.000	 280.000
