System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
17:21:59:964, 77443080267688,    0.117,   61.000, 3200,  40.340,   4.734,   1.315,  28.874,   3.388,   0.941, 67,  0,   1.172,   0.138,   0.038,  55.000,  75.000,   0.000, 230.000, 280.000
17:22:00:071, 77443370468190,    0.224,   93.000, 3200,  47.426,   9.809,   2.725,  35.508,   7.188,   1.997, 73,  0,   1.675,   0.317,   0.088,  55.000,  75.000,   0.000, 230.000, 280.000
17:22:00:177, 77443657114508,    0.330,   98.000, 3200,  48.360,  14.920,   4.145,  36.387,  11.034,   3.065, 72,  0,   1.616,   0.488,   0.135,  55.000,  75.000,   0.000, 230.000, 280.000
17:22:00:299, 77443987448079,    0.452,   99.000, 3200,  43.546,  20.224,   5.618,  35.484,  15.356,   4.266, 71,  0,   1.775,   0.704,   0.196,  55.000,  75.000,   0.000, 230.000, 280.000
17:22:00:406, 77444277633514,    0.559,   88.000, 3200,  38.312,  24.324,   6.757,  33.878,  18.981,   5.273, 70,  0,   1.796,   0.896,   0.249,  55.000,  75.000,   0.000, 230.000, 280.000
17:22:00:506, 77444551295741,    0.660,   95.000, 3200,  40.151,  28.375,   7.882,  35.747,  22.588,   6.275, 71,  0,   1.698,   1.067,   0.296,  55.000,  75.000,   0.000, 230.000, 280.000
17:22:00:624, 77444870148138,    0.777,   83.000, 3200,  36.000,  32.608,   9.058,  31.922,  26.341,   7.317, 71,  0,   1.383,   1.230,   0.342,  55.000,  75.000,   0.000, 230.000, 280.000
17:22:00:731, 77445159036604,    0.884,   48.000, 3200,  31.706,  35.985,   9.996,  27.439,  29.264,   8.129, 66,  0,   1.033,   1.340,   0.372,  55.000,  75.000,   0.000, 230.000, 280.000
17:22:00:840, 77445453987969,    0.993,   52.000, 3200,  30.689,  39.323,  10.923,  26.785,  32.177,   8.938, 65,  0,   1.171,   1.467,   0.408,  55.000,  75.000,   0.000, 230.000, 280.000
17:22:00:946, 77445744234814,    1.100,   70.000, 3200,  34.694,  43.036,  11.954,  30.445,  35.436,   9.843, 68,  0,   1.492,   1.627,   0.452,  55.000,  75.000,   0.000, 230.000, 280.000
