System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
17:17:54:808, 76778216482301,    0.113,   14.000, 3200,  26.011,   2.930,   0.814,  14.500,   1.633,   0.454, 66,  0,   0.535,   0.060,   0.017,  55.000,  75.000,   0.000, 230.000, 280.000
17:17:54:919, 76778516640831,    0.223,   12.000, 3200,  26.079,   5.816,   1.616,  14.875,   3.280,   0.911, 61,  0,   0.482,   0.114,   0.032,  55.000,  75.000,   0.000, 230.000, 280.000
17:17:55:028, 76778811597231,    0.332,   13.000, 3200,  25.910,   8.634,   2.398,  14.479,   4.854,   1.348, 63,  0,   0.484,   0.166,   0.046,  55.000,  75.000,   0.000, 230.000, 280.000
17:17:55:137, 76779106576933,    0.441,   14.000, 3200,  25.313,  11.387,   3.163,  13.860,   6.362,   1.767, 63,  0,   0.544,   0.225,   0.063,  55.000,  75.000,   0.000, 230.000, 280.000
17:17:55:247, 76779404919869,    0.551,   13.000, 3200,  25.677,  14.212,   3.948,  14.284,   7.933,   2.204, 58,  0,   0.508,   0.281,   0.078,  55.000,  75.000,   0.000, 230.000, 280.000
17:17:55:355, 76779700065122,    0.660,   15.000, 3200,  27.147,  17.166,   4.768,  15.724,   9.644,   2.679, 63,  0,   0.518,   0.338,   0.094,  55.000,  75.000,   0.000, 230.000, 280.000
17:17:55:463, 76779992631169,    0.768,   12.000, 3200,  26.063,  19.978,   5.549,  14.669,  11.227,   3.119, 68,  0,   0.471,   0.388,   0.108,  55.000,  75.000,   0.000, 230.000, 280.000
17:17:55:574, 76780292514418,    0.878,   12.000, 3200,  25.973,  22.850,   6.347,  14.742,  12.857,   3.571, 68,  0,   0.457,   0.439,   0.122,  55.000,  75.000,   0.000, 230.000, 280.000
17:17:55:682, 76780584646377,    0.986,   12.000, 3200,  26.346,  25.688,   7.136,  14.898,  14.462,   4.017, 69,  0,   0.469,   0.489,   0.136,  55.000,  75.000,   0.000, 230.000, 280.000
17:17:55:793, 76780886497800,    1.097,   12.000, 3200,  26.091,  28.592,   7.942,  14.799,  16.109,   4.475, 67,  0,   0.459,   0.541,   0.150,  55.000,  75.000,   0.000, 230.000, 280.000
17:17:55:901, 76781178948190,    1.205,   12.000, 3200,  25.414,  31.333,   8.703,  14.005,  17.619,   4.894, 67,  0,   0.459,   0.590,   0.164,  55.000,  75.000,   0.000, 230.000, 280.000
17:17:56:009, 76781474094548,    1.314,   12.000, 3200,  25.854,  34.146,   9.485,  14.487,  19.196,   5.332, 65,  0,   0.469,   0.641,   0.178,  55.000,  75.000,   0.000, 230.000, 280.000
17:17:56:120, 76781772799821,    1.424,   12.000, 3200,  26.090,  37.020,  10.283,  14.714,  20.817,   5.782, 67,  0,   0.468,   0.693,   0.192,  55.000,  75.000,   0.000, 230.000, 280.000
17:17:56:231, 76782073539862,    1.535,   12.000, 3200,  26.371,  39.944,  11.096,  14.982,  22.478,   6.244, 69,  0,   0.469,   0.745,   0.207,  55.000,  75.000,   0.000, 230.000, 280.000
17:17:56:340, 76782371303027,    1.645,   17.000, 3200,  28.078,  43.027,  11.952,  16.642,  24.305,   6.751, 69,  0,   0.519,   0.802,   0.223,  55.000,  75.000,   0.000, 230.000, 280.000
17:17:56:452, 76782672928518,    1.756,   12.000, 3200,  26.294,  45.951,  12.764,  14.970,  25.970,   7.214, 67,  0,   0.465,   0.853,   0.237,  55.000,  75.000,   0.000, 230.000, 280.000
17:17:56:563, 76782976157303,    1.868,   12.000, 3200,  26.478,  48.912,  13.587,  15.081,  27.656,   7.682, 70,  0,   0.457,   0.904,   0.251,  55.000,  75.000,   0.000, 230.000, 280.000
17:17:56:674, 76783274816779,    1.978,   12.000, 3200,  26.421,  51.822,  14.395,  15.073,  29.316,   8.143, 71,  0,   0.477,   0.957,   0.266,  55.000,  75.000,   0.000, 230.000, 280.000
17:17:56:782, 76783570288531,    2.087,   12.000, 3200,  26.233,  54.680,  15.189,  14.856,  30.935,   8.593, 68,  0,   0.461,   1.007,   0.280,  55.000,  75.000,   0.000, 230.000, 280.000
17:17:56:892, 76783866383855,    2.196,   12.000, 3200,  26.202,  57.541,  15.983,  14.885,  32.560,   9.044, 68,  0,   0.457,   1.057,   0.294,  55.000,  75.000,   0.000, 230.000, 280.000
17:17:57:002, 76784165491048,    2.306,   12.000, 3200,  26.265,  60.437,  16.788,  14.975,  34.211,   9.503, 66,  0,   0.465,   1.108,   0.308,  55.000,  75.000,   0.000, 230.000, 280.000
17:17:57:112, 76784463779564,    2.416,   12.000, 3200,  26.191,  63.318,  17.588,  14.806,  35.840,   9.956, 68,  0,   0.471,   1.160,   0.322,  55.000,  75.000,   0.000, 230.000, 280.000
17:17:57:223, 76784763907093,    2.527,   12.000, 3200,  26.353,  66.234,  18.398,  14.913,  37.490,  10.414, 68,  0,   0.470,   1.212,   0.337,  55.000,  75.000,   0.000, 230.000, 280.000
17:17:57:332, 76785061821615,    2.637,   17.000, 3300,  26.954,  69.195,  19.221,  15.545,  39.198,  10.888, 72,  0,   0.494,   1.266,   0.352,  55.000,  75.000,   0.000, 230.000, 280.000
17:17:57:428, 76785320042774,    2.732,   12.000, 3200,  26.114,  71.682,  19.912,  14.796,  40.607,  11.280, 67,  0,   0.463,   1.311,   0.364,  55.000,  75.000,   0.000, 230.000, 280.000
17:17:57:538, 76785618547452,    2.842,   12.000, 3200,  25.837,  74.526,  20.702,  14.491,  42.202,  11.723, 70,  0,   0.463,   1.362,   0.378,  55.000,  75.000,   0.000, 230.000, 280.000
17:17:57:649, 76785921614871,    2.954,   14.000, 3200,  27.238,  77.569,  21.547,  15.808,  43.968,  12.213, 67,  0,   0.472,   1.414,   0.393,  55.000,  75.000,   0.000, 230.000, 280.000
17:17:57:761, 76786224127936,    3.065,   12.000, 3200,  26.016,  80.471,  22.353,  14.786,  45.618,  12.672, 69,  0,   0.457,   1.465,   0.407,  55.000,  75.000,   0.000, 230.000, 280.000
17:17:57:873, 76786526532700,    3.177,   12.000, 3200,  26.252,  83.399,  23.166,  14.766,  47.264,  13.129, 68,  0,   0.456,   1.516,   0.421,  55.000,  75.000,   0.000, 230.000, 280.000
