System Time	RDTSC	Elapsed Time (sec)	 CPU Utilization(%)	CPU Frequency_0(MHz)	Processor Power_0(Watt)	Cumulative Processor Energy_0(Joules)	Cumulative Processor Energy_0(mWh)	IA Power_0(Watt)	Cumulative IA Energy_0(Joules)	Cumulative IA Energy_0(mWh)	Package Temperature_0(C)	Package Hot_0	DRAM Power_0(Watt)	Cumulative DRAM Energy_0(Joules)	Cumulative DRAM Energy_0(mWh)	Package PL1_0(Watt)	Package PL2_0(Watt)	Package PL4_0(Watt)	Platform PsysPL1_0(Watt)	Platform PsysPL2_0(Watt)
17:27:19:765	7,83104E+13	    0.113	   17.000	3200	  26.223	   2.967	   0.824	  14.837	   1.679	   0.466	62	0	   0.585	   0.066	   0.018	  55.000	  75.000	   0.000	 230.000	 280.000
17:27:19:872	7,83107E+13	    0.221	   12.000	3200	  25.850	   5.754	   1.598	  14.424	   3.234	   0.898	65	0	   0.484	   0.118	   0.033	  55.000	  75.000	   0.000	 230.000	 280.000
17:27:19:982	7,8311E+13	    0.331	   12.000	3200	  25.749	   8.585	   2.385	  14.372	   4.814	   1.337	65	0	   0.478	   0.171	   0.047	  55.000	  75.000	   0.000	 230.000	 280.000
17:27:20:090	7,83113E+13	    0.439	   16.000	3200	  26.825	  11.484	   3.190	  15.457	   6.484	   1.801	72	0	   0.514	   0.226	   0.063	  55.000	  75.000	   0.000	 230.000	 280.000
17:27:20:201	7,83116E+13	    0.550	   12.000	3200	  25.734	  14.342	   3.984	  14.384	   8.082	   2.245	69	0	   0.479	   0.280	   0.078	  55.000	  75.000	   0.000	 230.000	 280.000
17:27:20:310	7,83119E+13	    0.659	   13.000	3200	  25.599	  17.132	   4.759	  14.213	   9.631	   2.675	66	0	   0.486	   0.333	   0.092	  55.000	  75.000	   0.000	 230.000	 280.000
17:27:20:419	7,83122E+13	    0.768	   12.000	3200	  26.013	  19.966	   5.546	  14.637	  11.226	   3.118	60	0	   0.463	   0.383	   0.106	  55.000	  75.000	   0.000	 230.000	 280.000
17:27:20:530	7,83125E+13	    0.879	   12.000	3200	  26.058	  22.859	   6.350	  14.700	  12.858	   3.572	67	0	   0.468	   0.435	   0.121	  55.000	  75.000	   0.000	 230.000	 280.000
17:27:20:640	7,83128E+13	    0.988	   12.000	3200	  25.825	  25.685	   7.135	  14.537	  14.448	   4.013	64	0	   0.479	   0.487	   0.135	  55.000	  75.000	   0.000	 230.000	 280.000
17:27:20:752	7,83131E+13	    1.100	   12.000	3200	  26.306	  28.625	   7.951	  14.890	  16.112	   4.476	66	0	   0.475	   0.540	   0.150	  55.000	  75.000	   0.000	 230.000	 280.000
17:27:20:863	7,83134E+13	    1.211	   12.000	3200	  26.258	  31.542	   8.762	  14.930	  17.771	   4.936	72	0	   0.454	   0.591	   0.164	  55.000	  75.000	   0.000	 230.000	 280.000
17:27:20:973	7,83137E+13	    1.321	   12.000	3200	  26.102	  34.410	   9.558	  14.694	  19.386	   5.385	64	0	   0.469	   0.642	   0.178	  55.000	  75.000	   0.000	 230.000	 280.000
17:27:21:068	7,83139E+13	    1.417	   17.000	3200	  27.221	  37.018	  10.283	  15.773	  20.897	   5.805	65	0	   0.521	   0.692	   0.192	  55.000	  75.000	   0.000	 230.000	 280.000
17:27:21:178	7,83142E+13	    1.527	   12.000	3200	  25.685	  39.845	  11.068	  14.344	  22.475	   6.243	64	0	   0.468	   0.744	   0.207	  55.000	  75.000	   0.000	 230.000	 280.000
17:27:21:287	7,83145E+13	    1.636	   12.000	3200	  26.079	  42.675	  11.854	  14.575	  24.057	   6.683	67	0	   0.491	   0.797	   0.221	  55.000	  75.000	   0.000	 230.000	 280.000
17:27:21:398	7,83148E+13	    1.747	   12.000	3200	  26.126	  45.587	  12.663	  14.880	  25.716	   7.143	73	0	   0.457	   0.848	   0.236	  55.000	  75.000	   0.000	 230.000	 280.000
17:27:21:510	7,83151E+13	    1.859	   12.000	3200	  26.176	  48.516	  13.477	  14.786	  27.370	   7.603	69	0	   0.464	   0.900	   0.250	  55.000	  75.000	   0.000	 230.000	 280.000
17:27:21:620	7,83154E+13	    1.969	   12.000	3200	  26.095	  51.387	  14.274	  14.731	  28.991	   8.053	71	0	   0.463	   0.951	   0.264	  55.000	  75.000	   0.000	 230.000	 280.000
17:27:21:730	7,83157E+13	    2.079	   12.000	3200	  26.042	  54.250	  15.069	  14.659	  30.603	   8.501	69	0	   0.473	   1.003	   0.279	  55.000	  75.000	   0.000	 230.000	 280.000
17:27:21:840	7,8316E+13	    2.189	   12.000	3200	  26.221	  57.134	  15.870	  14.842	  32.235	   8.954	72	0	   0.461	   1.054	   0.293	  55.000	  75.000	   0.000	 230.000	 280.000
17:27:21:951	7,83163E+13	    2.300	   12.000	3200	  26.477	  60.079	  16.689	  15.178	  33.923	   9.423	67	0	   0.456	   1.104	   0.307	  55.000	  75.000	   0.000	 230.000	 280.000
17:27:22:063	7,83166E+13	    2.412	   16.000	3200	  26.725	  63.070	  17.520	  15.324	  35.639	   9.900	63	0	   0.492	   1.160	   0.322	  55.000	  75.000	   0.000	 230.000	 280.000
17:27:22:173	7,83169E+13	    2.522	   12.000	3200	  26.094	  65.937	  18.316	  14.716	  37.255	  10.349	65	0	   0.469	   1.211	   0.336	  55.000	  75.000	   0.000	 230.000	 280.000
17:27:22:283	7,83172E+13	    2.631	   12.000	3200	  25.783	  68.755	  19.099	  14.483	  38.838	  10.788	69	0	   0.460	   1.261	   0.350	  55.000	  75.000	   0.000	 230.000	 280.000
17:27:22:390	7,83175E+13	    2.739	   12.000	3200	  25.936	  71.554	  19.876	  14.542	  40.408	  11.224	63	0	   0.468	   1.312	   0.364	  55.000	  75.000	   0.000	 230.000	 280.000
